sample_id,method,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
TCGA-DU-8167-01A,nnls,0.8080628226413515,0.06560954934071639,0.0,0.0,0.0,0.007092690056567429,0.08789456649045342,0.03134037147091118
TCGA-DU-8168-01A,nnls,0.9527780330155772,0.00252846637885795,0.0,0.0,0.0,0.017720887113704578,0.004590111494094045,0.022382501997766268
TCGA-DU-A5TP-01A,nnls,0.8613119807135824,0.12386648652420815,0.0,0.0,0.0,0.0063981930163794784,0.002903154077486346,0.005520185668343653
TCGA-DU-A5TR-01A,nnls,0.9196043309461558,0.061835568685713736,0.0,0.0,0.0,0.0,0.0,0.01856010036813046
TCGA-DU-A5TS-01A,nnls,0.6902128282511821,0.049042387090924136,0.0,0.0,0.06166966530331252,0.03621553667544294,0.11626508036636113,0.04659450231277708
TCGA-DU-A5TT-01A,nnls,0.9769813952324,0.0,0.0,0.0,0.0,0.0,0.0017374737087615404,0.021281131058838405
TCGA-DU-A5TU-01A,nnls,0.9379654273855192,0.04426541219323877,0.0,0.0,0.0,0.0,0.0,0.017769160421242026
TCGA-DU-A5TW-01A,nnls,0.9392375406457838,0.02843248710611389,0.0,0.0,0.0,0.008519830495583268,0.011226347830919506,0.01258379392159942
TCGA-DU-A5TY-01A,nnls,0.9478716409925797,0.027624535347512358,0.0,0.0,0.0,0.0,0.0,0.024503823659907907
TCGA-DU-A6S2-01A,nnls,0.8434707727198234,0.0,0.0,0.0,0.0,0.0065412167671095745,0.07932519498495594,0.07066281552811103
TCGA-DU-A6S3-01A,nnls,0.8085933650671753,0.0008693163330395431,0.0,0.0,0.05182519078456015,0.03435405921527598,0.04742613315607498,0.05693193544387408
TCGA-DU-A6S6-01A,nnls,0.9525181845232731,0.0,0.0,0.0,0.0,0.0,0.0,0.04748181547672686
TCGA-DU-A6S7-01A,nnls,0.8448141078255244,0.0642347526790642,0.0,0.0,0.0,0.0,0.05818190128387355,0.03276923821153785
TCGA-DU-A6S8-01A,nnls,0.9506563840137785,0.0,0.0,0.0,0.0,0.0,0.03999438095500488,0.009349235031216731
TCGA-DU-A76K-01A,nnls,0.9558691533328084,0.0,0.0,0.0,0.0,0.0,0.0,0.04413084666719166
TCGA-DU-A76L-01A,nnls,0.7679886586989163,0.05775053045310718,0.0,0.0,0.0,0.09138346815699469,0.05302595669527756,0.029851385995704374
TCGA-DU-A76O-01A,nnls,0.942025559845488,0.04502103007565605,0.0,0.0,0.0,0.0,0.0,0.012953410078855932
TCGA-DU-A76R-01A,nnls,0.9559170719033973,0.0,0.0,0.0,0.0,0.0,0.0,0.04408292809660276
TCGA-DU-A7T6-01A,nnls,0.9131762291443407,0.004187922748748934,0.0,0.0,0.0,0.030044594110050428,0.039120422318713745,0.013470831678146142
TCGA-DU-A7T8-01A,nnls,0.9566523251212679,0.033514975510915083,0.0,0.0,0.0,0.0,0.0,0.009832699367817025
TCGA-DU-A7TA-01A,nnls,0.919500032026337,0.05170466878006955,0.0,0.0,0.0,0.015509758704816726,0.0,0.013285540488776741
TCGA-DU-A7TB-01A,nnls,0.0,0.0,0.0,0.0057276540543962,0.0918440075807148,0.04474832148187949,0.7805229030658315,0.07715711381717796
TCGA-DU-A7TC-01A,nnls,0.9290425245662612,0.0242763083238627,0.0,0.0,0.011198504870860238,0.00688577589992995,0.0,0.028596886339085952
TCGA-DU-A7TD-01A,nnls,0.9672797949809218,0.023844036505758347,0.0,0.0,0.0,0.0,0.0,0.008876168513319849
TCGA-DU-A7TG-01A,nnls,0.8784620978534498,0.019722544146412505,0.0,0.0,0.0,0.004702455329919665,0.015156111708526043,0.08195679096169203
TCGA-DU-A7TI-01A,nnls,0.9419864262690197,0.029022514690100774,0.0,0.0,0.0,0.0,0.0010216200323710895,0.027969439008508467
TCGA-DU-A7TJ-01A,nnls,0.9591196266156559,0.03635635247271615,0.0,0.0,0.0,0.0,0.0,0.004524020911627866
TCGA-E1-5302-01A,nnls,0.9760786502735811,0.0004976594018503751,0.0,0.0,0.0,0.0,0.0,0.023423690324568622
TCGA-E1-5303-01A,nnls,0.9673292605554361,0.0006462828361968123,0.0,0.0,0.0,0.0,0.014626497799390358,0.01739795880897674
TCGA-E1-5304-01A,nnls,0.8564280414704925,0.009200589505908595,0.0,0.0,0.0711178853099022,0.022755909650317645,0.038623011600357283,0.0018745624630219098
TCGA-E1-5305-01A,nnls,0.9250356296512777,0.012363021092089276,0.0,0.0,0.0,0.0,0.016053167581887077,0.04654818167474606
TCGA-E1-5307-01A,nnls,0.884173989556125,0.03950976223126354,0.0,0.0,0.0,0.0,0.007711079654032297,0.06860516855857925
TCGA-E1-5311-01A,nnls,0.7489160045815872,0.013087748482534505,0.0,0.0,0.080042131388805,0.07559958236491175,0.005553207735740563,0.07680132544642092
TCGA-E1-5318-01A,nnls,0.6704032852006439,0.017402338463027765,0.0,0.0,0.10810778160325624,0.17969806216788717,0.012500648819504906,0.011887883745680053
TCGA-E1-5319-01A,nnls,0.903471107394644,0.0,0.0,0.0,0.0,0.0,0.05643285821212291,0.04009603439323312
TCGA-E1-5322-01A,nnls,0.9003108227640159,0.08101439606734123,0.0,0.0,0.0,0.0,0.0018717649260085252,0.0168030162426344
TCGA-E1-A7YD-01A,nnls,0.9792203535095749,0.0,0.0,0.0,0.0,0.0,0.0,0.020779646490425026
TCGA-E1-A7YE-01A,nnls,0.9003625730722287,0.07890170831607114,0.0,0.0,0.0,0.006541543847867602,0.0,0.014194174763832591
