sample,absolute_purity,nnls,svr,cibersortx,cibersortx_smode,elastic_net,bayesian,bayesian_hierarchical,music,bisque,scdc,scdc_ensemble,epic,bayesprism
TCGA-HT-8563-01A,0.45,0.1887813840982853,0.0618636533011061,0.01262962684804336,0.05391528187625908,0.11313785833265352,0.0031187612089623794,2.380675254900699e-34,0.11302585621591192,0.06599929561176236,0.1672940270879636,0.1672940270879636,0.09975060821447725,0.24405359648449337
TCGA-HT-8564-01A,0.77,0.09243651575613804,0.1603471284866891,0.009677635173134304,0.008202300396880264,0.05105698867902369,0.09899982920913704,0.09953012064810429,0.3875129727594537,0.24861463490259605,0.48927627651725536,0.48927627651725536,0.036659646648014514,0.20132934074190575
TCGA-HT-A4DS-01A,0.81,0.7345920874289577,0.4154268497842454,0.2143228206890791,0.15901119560020388,0.23341694766506485,0.08661474885496916,0.0902724327515444,0.5293233328246076,0.22307525622264987,0.6017439408999491,0.6017439408999491,0.5098332582317554,0.9622780852350651
TCGA-HT-A5R5-01A,0.3,0.3172173146409817,0.17550678324070237,0.013620519820695245,0.10776996395426425,0.11087339393051182,0.016509781251635484,0.014972211699361708,0.2582789724109438,0.2798605994287491,0.402625347545687,0.402625347545687,0.1640340487698548,0.9859998629225278
TCGA-HT-A5R7-01A,0.95,0.29627493523392595,0.23184422826203255,0.07682372097321273,0.09568248600481008,0.17578767839823442,0.0765596350616384,0.0923439750595492,0.3252057756979032,0.2734759773716551,0.38935825451369915,0.38935825451369915,0.14409174006842412,0.7479260576779805
TCGA-HT-A5R9-01A,0.84,0.2653921743325583,0.2819635093127586,0.22861010017761452,0.0030395806105287613,0.12412524001877542,0.24307771529056935,0.2635067969220966,0.49314023146556535,0.3067672121495239,0.4593225616586358,0.4593225616586358,0.1478382394743655,0.47489653490314043
TCGA-HT-A5RA-01A,0.85,0.2732109026944962,0.20890584040953122,0.17715306385244042,0.04714088088621824,0.15098508704707983,0.03607988221029986,0.044450877929986476,0.3229417669223761,0.317843865521496,0.38179160429091435,0.38179160429091435,0.16794287068358899,0.37745508486993395
TCGA-HT-A5RB-01A,0.84,0.1099210826502459,0.13157464446981348,0.050429926403815106,0.0028449162344668802,0.06587188127722822,0.16767599415748455,0.17388318970551817,0.41330519676287003,0.3037977045969027,0.5159734946075958,0.5159734946075958,0.03550465810272271,0.29604197539826066
TCGA-HT-A5RC-01A,0.72,0.5007791958490093,0.20523734574314656,0.4101699868120269,0.14529467064287316,0.25450574336473264,0.05308000981529155,0.0637905684638462,0.4283805641861588,0.5508566159666818,0.4398951071466698,0.4398951071466698,0.3577243004873955,0.9217040309114646
TCGA-HT-A614-01A,0.81,0.1888971925652338,0.2192342517815329,0.07081918365861022,0.026176530907635602,0.16324364399523267,0.04777352258964442,0.0525054412703622,0.3021198885441842,0.25503374090506503,0.3377819743910601,0.3377819743910601,0.08293082208378064,0.48630601484071456
TCGA-HT-A615-01A,0.74,0.10989129847344029,0.2095656532265292,0.1819881632086516,0.021532792707585208,0.05616086515652893,0.06001939542035485,0.06337161501808036,0.5380101416153192,0.25874718496755095,0.5692268544347948,0.5692268544347948,0.04878266312238772,0.2799589907504115
TCGA-HT-A616-01A,0.71,0.06509967495656852,0.11808624030081014,0.06426757720546226,0.003971760749476287,0.05309467939301992,0.10612536307312485,0.11095261915588582,0.3459071258576261,0.2859156307325619,0.5232049465220528,0.5232049465220528,0.01568628249649754,0.09717074850023785
