"","B","NK","CD4T","CD8T","Mono","Neutro","Eosino"
"TCGA-OX-A56R-01",0.0858952259270511,0.137336370857624,0.267308698777514,0,0.509459704437811,0,0
"TCGA-15-1444-01",0.0882364112118985,0.0659643218963298,0.162333283471992,0,0.450699872453283,0,0.232766110966497
"TCGA-74-6578-01",0,0.044288307475703,0.0959138817754686,0,0.698430633115674,0,0.161367177633155
"TCGA-06-6693-01",0.0145334823232538,0.147641121340998,0.154857696489074,0,0.533952032163565,0,0.149015667683109
"TCGA-19-A60I-01",0,0.185470796751518,0.138878772778774,0,0.546260859982986,0,0.129389570486722
"TCGA-06-6389-01",0.0789030328326638,0.0111557717049239,0.178690179133404,0,0.50417901249311,0,0.227072003835898
"TCGA-06-5412-01",0.0350355830057846,0.0593729587446933,0.0644597864662768,0,0.562919859161251,0.278211812621995,0
"TCGA-19-0957-01",0.0747059420982309,0.0538145662765329,0.112765236813071,0,0.601073433390966,0,0.157640821421199
"TCGA-06-A6S0-01",0,0.136429532444708,0.162240922966777,0,0.553985810573051,0,0.147343734015464
"TCGA-RR-A6KC-01",0,0.0884147254880906,0.105266288959836,0,0.621144478000781,0,0.185174507551292
"TCGA-14-1395-01",0.0140755316178763,0.189506947073478,0.147345135547677,0,0.494757991985923,0,0.154314393775046
"TCGA-14-0736-02",0.059254180855116,0.0998883044921833,0.141673714945371,0,0.631771052220187,0,0.0674127474871426
"TCGA-81-5910-01",0.0549288640426178,0.213809416096742,0.203655606745489,0,0.454971772523861,0,0.0726343405912897
"TCGA-26-6174-01",0.0146224207858158,0.169408901333693,0.194286748259558,0,0.478930496000182,0,0.142751433620751
"TCGA-76-6280-01",0,0.107919116486834,0.0398983765374798,0,0.852182506975687,0,0
"TCGA-32-5222-01",0,0.0434855949137508,0.0303471236027142,0,0.681468486430448,0,0.244698795053087
"TCGA-28-5213-01",0,0.0588008586678012,0.0115357070524913,0,0.608892340808284,0.320771093471423,0
"TCGA-06-0210-02",0.0400633989857923,0,0.0805226264769178,0.0800035208909957,0.582121282796868,0,0.217289170849427
"TCGA-06-0221-02",0.0360617127432071,0.131367698211994,0.106379912270374,0,0.494663425076697,0,0.231527251697728
"TCGA-06-0210-01",0,0,0.140492620563502,0.0184579819038697,0.659387895850467,0,0.181661501682162
"TCGA-4W-AA9R-01",0.00532519729571647,0.122772920373726,0.134628400603801,0,0.56399604099042,0,0.173277440736336
"TCGA-76-4925-01",0,0.25289840428129,0.100955531998728,0,0.556456877223496,0,0.089689186496486
"TCGA-06-0211-02",0.0093072256163621,0.16770987434204,0.0902045329857847,0,0.607828542372575,0,0.124949824683239
"TCGA-26-5135-01",0.0553729211294907,0.208842056091466,0.263405693324897,0,0.337839696726129,0,0.134539632728017
"TCGA-06-0211-01",0,0.136356901502948,0.0431027533275061,0,0.759099496148834,0,0.061440849020712
"TCGA-26-A7UX-01",0.0880977086240345,0.00851374587635299,0.0706546997979656,0.124474629410726,0.559091506986211,0,0.14916770930471
"TCGA-06-5414-01",0,0.254489915909242,0.0418686744184954,0,0.658461885448885,0,0.0451795242233775
"TCGA-06-0190-02",0,0.0379770576931328,0.0219626174709483,0,0.617310735815419,0.3227495890205,0
"TCGA-06-0125-01",0.063680371691187,0.0159664265849886,0.0217098242429292,0,0.639015560769213,0,0.259627816711682
"TCGA-76-4934-01",0,0.220970426942523,0.273731685529064,0,0.314816223808537,0,0.190481663719877
"TCGA-19-4065-02",0,0.20825423020546,0.0235260149931683,0,0.718449558591243,0,0.0497701962101281
"TCGA-28-5208-01",0.00355333983423916,0.063389712020689,0.198345430096529,0,0.540637911145068,0,0.194073606903475
"TCGA-76-4935-01",0.0130110002451251,0.305127843252994,0.145675951993514,0,0.375400174567522,0,0.160785029940845
"TCGA-06-0171-02",0.0165594249416054,0.063238433787724,0.0878667534679563,0,0.664252838993666,0.154193790062302,0.0138887587467457
"TCGA-12-5295-01",0,0,0,0.196784976698094,0.671280605904561,0,0.131934417397344
