"","B","NK","CD4T","CD8T","Mono","Neutro","Eosino"
"TCGA-QH-A6CW-01",0.0687576475810065,0.170160251491612,0.294914179050401,0,0.30095196689338,0,0.1652159549836
"TCGA-S9-A6WO-01",0.0696520664496605,0.158595057120478,0.187657399031435,0,0.40833113091573,0,0.175764346482696
"TCGA-IK-7675-01",0.0335459682124682,0,0,0.0113241603686678,0.614035796426677,0,0.341094074992187
"TCGA-HT-7601-01",0.0652633438040414,0.159355408910602,0.257556780482215,0,0.355824182732012,0,0.16200028407113
"TCGA-P5-A5ET-01",0.0222030413437206,0.153563925333626,0.289596770071517,0,0.322516241678479,0,0.212120021572658
"TCGA-HT-7472-01",0.0821255890405986,0.0385676515716286,0.0726297252405567,0,0.605356018727563,0,0.201321015419653
"TCGA-HT-7880-01",0.0761289846849809,0.191220637273801,0.14419011156934,0,0.465479977566979,0,0.1229802889049
"TCGA-E1-A7Z3-01",0.114953166319096,0.114936136982901,0.184306451315713,0,0.419210417663068,0,0.166593827719222
"TCGA-P5-A77X-01",0.0766612137544738,0.0995861927074874,0.254989701900441,0,0.406987042036783,0,0.161775849600815
"TCGA-FG-A6IZ-01",0.0232029206179103,0,0.117166454936956,0.041607594207526,0.412599362670363,0,0.405423667567244
"TCGA-HT-7873-01",0.11220023611175,0.0390124988876048,0.146190754386138,0,0.44101983813513,0,0.261576672479378
"TCGA-CS-4938-01",0.00258655935482877,0.113081475782516,0.186520196795762,0,0.496991407280156,0,0.200820360786738
"TCGA-KT-A74X-01",0.0822771319419518,0.180704912627074,0.253352625013813,0,0.352350017269939,0,0.131315313147223
"TCGA-P5-A5EX-01",0.0294378365929994,0.0959573772605163,0.219111673996407,0,0.552143898188928,0,0.103349213961149
"TCGA-VM-A8CH-01",0.108540976304971,0.164084416251127,0.222662500757885,0,0.348774117616279,0,0.155937989069738
"TCGA-HT-7476-01",0.136271129316176,0.0272203753535159,0.119262682555628,0,0.440810955947746,0,0.276434856826935
"TCGA-DB-A75L-01",0.147327700368913,0.0297763279484784,0.159979281134546,0,0.414132301127301,0,0.248784389420762
"TCGA-HT-8563-01",0.0864803705107102,0.106714388397194,0.148361744348686,0,0.529268351876422,0,0.129175144866989
"TCGA-CS-4941-01",0.103870011431994,0.133399951675275,0.0999540958055105,0,0.511877058859174,0,0.150898882228047
"TCGA-RY-A843-01",0.120607867921818,0.158650487060195,0.220827436334248,0,0.33768552521541,0,0.16222868346833
"TCGA-S9-A7IS-01",0.108428766004016,0.187254907517202,0.132876596374566,0,0.33711916727322,0,0.234320562830996
"TCGA-TQ-A8XE-02",0.0149109701998489,0.143103571066841,0.168852025810218,0,0.469186266100166,0,0.203947166822926
"TCGA-S9-A6U0-01",0.0153858871201802,0.249202686530643,0.212474790482775,0,0.424036561994154,0,0.0989000738722479
"TCGA-FG-7643-01",0.0486778462015926,0.181150574301915,0.142619097726278,0,0.443466917753953,0,0.184085564016261
"TCGA-E1-A7YO-01",0.124009763696277,0.111036456161247,0.314640548494474,0,0.302788519945902,0,0.147524711702101
"TCGA-TQ-A7RG-01",0.106841944684688,0.151850673407586,0.309286064748578,0,0.416981728754962,0,0.0150395884041863
"TCGA-QH-A6X5-01",0.0230302797129431,0.178691042378175,0.245780958867828,0,0.433018217955978,0,0.119479501085076
"TCGA-DU-6403-01",0.0409701591318831,0.154376494697257,0.101759851171428,0,0.463221866462822,0,0.23967162853661
"TCGA-HW-7493-01",0.135703031876246,0.113960377182474,0.186926361464468,0,0.444318541226976,0,0.119091688249836
"TCGA-RY-A847-01",0.120614084194353,0.181711579795673,0.255162306232492,0,0.389923569129104,0,0.0525884606483788
"TCGA-DU-8166-01",0.0940736005920292,0.177723178732653,0.291537874574788,0,0.304825692108026,0,0.131839653992504
"TCGA-VM-A8CA-01",0.115310093899733,0.115882169181122,0.203533341136965,0,0.433009181680186,0,0.132265214101995
"TCGA-HT-7855-01",0.113838216777334,0.109096648587186,0.191616505008975,0,0.317994377215877,0,0.267454252410627
"TCGA-S9-A89Z-01",0.0934814011699337,0.110890025646409,0.0184396336368279,0,0.556503397744621,0,0.220685541802209
"TCGA-DB-A4XG-01",0.0903523628923634,0.109745902170003,0.248577320057035,0,0.31256623314592,0,0.238758181734678
"TCGA-DH-A7UT-01",0.0649554305443476,0.124880623137684,0.137182346927243,0,0.458333777797959,0,0.214647821592766
"TCGA-DU-7015-01",0.0932509889801933,0.0967268567688345,0.10292159761086,0,0.58144726273317,0,0.125653293906943
"TCGA-HT-A616-01",0.130240487190357,0.109115039597462,0.21883720913918,0,0.323374002188852,0,0.21843326188415
"TCGA-FG-8181-01",0.115794996657345,0.158197442472148,0.178580977187015,0,0.47594074608058,0,0.0714858376029121
"TCGA-HT-7611-01",0.130161770550251,0.128679800993935,0.173499690745668,0,0.433206382962143,0,0.134452354748003
"TCGA-HT-8018-01",0.0673776324002233,0.121708642943543,0.272470726478677,0,0.449082736061437,0,0.0893602621161202
"TCGA-FG-A60K-01",0.105795442659313,0.159949290776278,0.215052094687809,0,0.425430023828649,0,0.0937731480479519
"TCGA-HT-7856-01",0.0421016306561447,0.200547542284265,0.195007072149633,0,0.429256233546183,0,0.133087521363774
