"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6","CDSeq_estimated_cell_type_7","CDSeq_estimated_cell_type_8"
"TAC1",1.92609199785819e-06,2.71360111149102e-06,0.000495049504950495,0.000301008746384224,0.00118851195386782,9.80758006334261e-05,5.3127171573138e-06,0.000753851196329072
"SPOCK3",1.92609199785819e-06,0.000415180970058125,6.97001108053044e-05,0.00137778800174242,0.00321762789263602,0.000327716699677546,7.43780402023933e-06,1.4046916701784e-05
"CHI3L1",0.0279957471888687,0.0341940876058983,0.00525967759230797,7.34167674107864e-06,1.04164062565103e-06,2.39209269837625e-06,1.06254343146276e-06,0.0227606873624573
"LTF",0.00123077278663138,0.000371763352274269,0.00140651249240448,2.44722558035955e-06,1.04164062565103e-06,7.17627809512874e-06,0.000778844335262204,4.68230556726132e-06
"KCNC2",5.77827599357456e-06,8.14080333447305e-06,1.60846409550702e-05,0.000286325392902067,0.00150933726656834,1.19604634918812e-05,5.3127171573138e-06,6.08699723743971e-05
"KCNK1",1.34826439850073e-05,0.000290355318929539,1.78718232834114e-06,0.000790453862456134,0.00234473304834046,1.67446488886337e-05,2.2313412060718e-05,0.000145151472585101
"SH3GL2",3.27435639635892e-05,0.000111257645571132,1.2510276298388e-05,0.00106943757861712,0.00230098414206312,0.000212896250155486,9.56289088316485e-06,4.68230556726132e-06
"GJB6",1.92609199785819e-06,3.52768144493832e-05,1.78718232834114e-06,2.44722558035955e-06,0.00202599101689124,2.39209269837625e-06,1.06254343146276e-06,4.68230556726132e-06
"LOC100506027",9.43785078950511e-05,1.35680055574551e-05,1.78718232834114e-06,2.20250302232359e-05,1.04164062565103e-06,2.15288342853862e-05,0.00899443014733227,0.00107224797490284
"GDA",1.34826439850073e-05,0.000100403241125168,1.96590056117525e-05,0.000247169783616314,0.00171558211044724,4.54497612691487e-05,3.18763029438828e-06,5.15053612398745e-05
"LUM",1.92609199785819e-06,0.000192665678915862,1.78718232834114e-06,2.44722558035955e-06,1.77078906360674e-05,7.17627809512874e-06,0.00384534467846373,0.00120335253078616
"EGFR",0.00174696544205737,2.71360111149102e-06,0.0271598098438003,1.22361279017977e-05,1.04164062565103e-06,1.19604634918812e-05,1.06254343146276e-06,4.68230556726132e-06
"VEGFA",0.0215664521000181,0.000176384072246916,0.000223397791042642,2.20250302232359e-05,1.04164062565103e-06,1.67446488886337e-05,1.06254343146276e-06,5.15053612398745e-05
"RBFOX1",3.65957479593055e-05,1.35680055574551e-05,1.78718232834114e-06,0.000785559411295414,0.00135725773522329,4.54497612691487e-05,5.3127171573138e-06,3.27761389708292e-05
