method,tumor_id,n_constraints_evaluable,n_satisfied,weight_evaluated,weight_satisfied,acs,constraints_satisfied,constraints_violated
control_random,705859,7,4,8.0,4.0,0.5,"C1,C3,C4,C6","C2,C5,C7"
control_random,711547,6,4,7.0,4.0,0.5714285714285714,"C1,C2,C3,C6","C4,C7"
control_random,711560,3,2,3.0,2.0,0.6666666666666666,"C3,C4",C6
control_shuffled_signature,292163427,6,0,7.0,0.0,0.0,,"C1,C2,C3,C4,C6,C7"
control_shuffled_signature,703393,7,0,8.0,0.0,0.0,,"C1,C2,C3,C4,C5,C6,C7"
control_shuffled_signature,703493,7,0,8.0,0.0,0.0,,"C1,C2,C3,C4,C5,C6,C7"
control_shuffled_signature,705757,7,1,8.0,1.0,0.125,C2,"C1,C3,C4,C5,C6,C7"
control_shuffled_signature,705758,7,2,8.0,2.0,0.25,"C1,C2","C3,C4,C5,C6,C7"
control_shuffled_signature,705803,7,2,8.0,2.0,0.25,"C2,C5","C1,C3,C4,C6,C7"
control_shuffled_signature,705859,7,1,8.0,1.0,0.125,C3,"C1,C2,C4,C5,C6,C7"
control_shuffled_signature,711547,6,1,7.0,1.0,0.14285714285714285,C3,"C1,C2,C4,C6,C7"
control_shuffled_signature,711560,3,2,3.0,2.0,0.6666666666666666,"C3,C4",C6
