sample_id,method,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
TCGA-16-0846-01A,nnls,0.976386721148786,0.006481556830739317,0.0,0.0,0.0,0.0,0.0,0.017131722020474634
TCGA-16-1045-01B,nnls,0.8969379120853868,0.08563774268017685,0.0,0.0,0.0,0.0,0.0,0.017424345234436332
TCGA-19-1390-01A,nnls,0.7935335229078914,0.044510340828811966,0.0,0.0,0.0,0.04920880169710654,0.10474944461407018,0.007997889952120021
TCGA-19-1787-01B,nnls,0.8503069337390947,0.08139391508358468,0.0,0.0,0.0,0.04171532901188067,0.005026553378235707,0.02155726878720428
TCGA-19-2619-01A,nnls,0.9433142480922827,0.0,0.0,0.0,0.0,0.023767934104480786,0.0,0.03291781780323649
TCGA-19-2620-01A,nnls,0.9555439025995139,0.0,0.0,0.0,0.0,0.0,0.013682656855534357,0.030773440544951784
TCGA-19-2624-01A,nnls,0.9986368740571517,0.0,0.0,0.0,0.0,0.0013631259428481897,0.0,0.0
TCGA-19-2625-01A,nnls,0.9767980877800416,0.0,0.0,0.0,0.0,0.0,0.0,0.023201912219958324
TCGA-19-2629-01A,nnls,0.9572372792260516,0.026557892481140235,0.0,0.0,0.0,0.0,0.0,0.016204828292808157
TCGA-19-4065-01A,nnls,0.8662278072049007,0.09646576916445843,0.0,0.0,0.0,0.019318632903904398,0.0,0.017987790726736595
TCGA-19-4065-02A,nnls,0.9163199952466441,0.03893341012961575,0.0,0.0,0.0,0.017848267357146043,0.0,0.026898327266594187
TCGA-19-5960-01A,nnls,0.9944463441167507,0.0,0.0,0.0,0.0,0.0,0.0,0.005553655883249334
TCGA-26-1442-01A,nnls,0.9533252589923623,0.015842688778996795,0.0,0.0,0.0,0.004871307350527129,0.0,0.025960744878113888
TCGA-26-5132-01A,nnls,0.9359321063730263,0.02433261855605218,0.0,0.0,0.0,0.026427556713889137,0.0,0.013307718357032396
TCGA-26-5133-01A,nnls,0.9806248638131153,0.0,0.0,0.0,0.0,0.0,0.0,0.01937513618688475
TCGA-26-5134-01A,nnls,0.9514082631481879,0.027877162849130468,0.0,0.0,0.0,0.0,0.007308851279444737,0.01340572272323688
TCGA-26-5135-01A,nnls,0.9391583635290861,0.014108145317739058,0.0,0.0,0.0,0.03679458320287445,0.0,0.00993890795030039
TCGA-26-5136-01B,nnls,0.9378512264470819,0.04388056713425791,0.0,0.0,0.0,0.0,0.0,0.018268206418660095
TCGA-26-5139-01A,nnls,0.9662353343451768,0.014349049654161046,0.0,0.0,0.0,0.0,0.0,0.019415616000662172
TCGA-27-1830-01A,nnls,0.9627200811047103,0.019468789168026687,0.0,0.0,0.0,0.0,0.0,0.017811129727263
TCGA-27-1831-01A,nnls,0.8216803209643482,0.07273116325322715,0.0,0.0,0.013700696466802317,0.07445488447018325,0.0,0.01743293484543917
TCGA-27-1832-01A,nnls,0.936591284315482,0.03957020139166861,0.0,0.0,0.0,0.0,0.0,0.023838514292849486
TCGA-27-1834-01A,nnls,0.9790842826794329,0.006249565763853116,0.0,0.0,0.0,0.0,0.0,0.014666151556713988
TCGA-27-1835-01A,nnls,0.910951366553824,0.0,0.0,0.0,0.0,0.04890710682743315,0.0,0.04014152661874279
TCGA-27-1837-01A,nnls,0.9543519991702352,0.026456675585034096,0.0,0.0,0.0,0.0,0.0,0.01919132524473067
TCGA-27-2519-01A,nnls,0.9277710042371675,0.05054255884597032,0.0,0.0,0.0,0.0,0.0,0.021686436916862045
TCGA-27-2521-01A,nnls,0.9756162669001147,0.008917436744895684,0.0,0.0,0.0,0.006047598192457282,0.0009858615209778962,0.008432836641554378
TCGA-27-2523-01A,nnls,0.9477319521767382,0.0242535695306002,0.0,0.0,0.0,0.017155473285269646,0.0,0.010859005007391901
TCGA-27-2524-01A,nnls,0.7808352795393589,0.09272424233905255,0.0,0.0,0.026743065515400306,0.08901499547251088,0.0,0.010682417133677336
TCGA-27-2526-01A,nnls,0.9848435453621104,0.0,0.0,0.0,0.0,0.0,0.0,0.015156454637889562
TCGA-27-2528-01A,nnls,0.9591054084124592,0.0,0.0,0.0,0.0,0.026557261463220152,0.0,0.01433733012432057
