sample,absolute_purity,nnls,svr,cibersortx,cibersortx_smode,elastic_net,bayesian,bayesian_hierarchical,music,dwls,bisque,scdc,scdc_ensemble,epic,bayesprism
TCGA-06-5412-01A,0.28,0.06992905306174707,0.1026243968595897,0.039661815695666146,0.051304380177329786,0.060973095569549225,0.01755783994560574,0.018824448440305837,0.15743173079922615,0.0,0.13073680069554403,0.16728713639204032,0.16728713639204032,0.028204221804893886,0.13101324801761302
TCGA-06-5413-01A,0.73,0.2135719471831463,0.4252753626962336,0.2246954808586412,0.14696133399764463,0.11776605182401312,0.08799446101759706,0.09181213792405514,0.44528695253589456,0.2922149577455824,0.34991355693416093,0.39526687187831816,0.39526687187831816,0.1251764791076731,0.35969425715291264
TCGA-06-5414-01A,0.79,0.27159105144180234,0.35771624486850107,0.35172710192682616,0.07142565265732155,0.15658434334773935,0.07587569340317746,0.07982680201940749,0.366758805117076,0.04481202673520687,0.5089535707760312,0.3611121188092959,0.3611121188092959,0.23055503927078017,0.323840405952858
TCGA-06-5415-01A,0.83,0.4262537726188645,0.37299867560863065,0.44485933385103377,0.4044668642476711,0.22771018685474914,0.11871819945612425,0.12299828444076213,0.5383519314035368,0.2557701573356979,0.4597614672480705,0.48370112522777714,0.48370112522777714,0.2780725028856369,0.806677505932905
TCGA-06-5418-01A,0.79,0.24516942645809486,0.3556420056774895,0.3706072046514864,0.16943108866030945,0.1307766689308385,0.08908581921674898,0.09184176652280072,0.5682220750438468,0.4406046928397494,0.24467475104216793,0.4944830907503782,0.4944830907503782,0.14398490990561458,0.581300513930424
TCGA-06-5856-01A,0.89,0.22390573452284254,0.40968281018095526,0.3613985947009275,0.1268985589495042,0.12574850044427882,0.08741640269237447,0.08960698926424449,0.4484104992997063,0.3068130017760577,0.37760213367306533,0.42902724268186726,0.42902724268186726,0.12747212134738647,0.27119941966012984
TCGA-06-5858-01A,1.0,0.20910504821996626,0.23453871880910054,0.1796942872930735,0.13190629643504675,0.18112126928179045,0.04720534096249058,0.047254585463709226,0.35381685229643123,0.21786520700767348,0.19958480864233794,0.2733928736924018,0.2733928736924018,0.12022260118059173,0.38770403822217114
TCGA-06-5859-01A,0.77,0.4932772621822741,0.25298864640474866,0.2362761514559733,0.35580309912036856,0.19920844641346577,0.014316840581060359,0.012036788980030038,0.39763426438891747,0.4313350354795938,0.2709119664179378,0.4648662443614501,0.4648662443614501,0.08644684038397171,0.6477118621284992
TCGA-06-6698-01A,0.79,0.2395582541580199,0.2093580116139832,0.07302343025087923,0.21719717623079535,0.11063446993899975,0.05834542174939875,0.060825749353712336,0.34248422935211836,0.3222097252295017,0.23173545852843294,0.4699617041061404,0.4699617041061404,0.14034015786896378,0.2948633376345956
TCGA-08-0386-01A,0.89,0.3058750290853144,0.24776044742781284,0.1698386683613995,0.3058936186687454,0.18446872771642478,0.07716131302460598,0.07495829469919756,0.4654573655312417,0.2869386949334817,0.2898419978189217,0.38879289944489914,0.38879289944489914,0.17583536468430905,0.5942324263233562
TCGA-12-0616-01A,0.86,0.4873018239997568,0.5818725040810587,0.41828588673961026,0.28002449291260173,0.30833952281145827,0.28892265192668953,0.3148242890687435,0.6795362935955847,0.6103345710266886,0.37181877591018575,0.5592958246496802,0.5592958246496802,0.36046682750693365,0.895134753029176
TCGA-12-0618-01A,0.95,0.3091182417699109,0.6912307590988196,0.8019957131820985,0.21207300152039948,0.11254564943864215,0.2815238769042416,0.3044457923765688,0.7235793860755214,0.5066474286478447,0.3163905212392121,0.6843461108872892,0.6843461108872892,0.1678191858798589,0.5811840651596897
TCGA-12-0619-01A,0.78,0.6090661346347164,0.29586071209669024,0.37381180974741196,0.3606331379028864,0.2691686952107439,0.11341288927755123,0.11712660550237573,0.3804062979990746,0.2630153202072381,0.4732318423830801,0.3572254331178394,0.3572254331178394,0.5185413965021249,0.9332652759428199
TCGA-12-0821-01A,0.89,0.518409251616264,0.44564671089168245,0.40697448048462526,0.3540279413027838,0.22844250462272095,0.07779545527315722,0.08172483928448042,0.5239568733247708,0.040682911745372176,0.2980712853029776,0.45802155395020827,0.45802155395020827,0.11132106459273934,0.8301252508904151
TCGA-12-3650-01A,0.88,0.4146933992957227,0.5179116532011089,0.48102212609011596,0.11219867901053841,0.36644482160590053,0.23319780029518813,0.23865109025373601,0.5745714737996721,0.4277629354432034,0.6190849326706619,0.48768124729784257,0.48768124729784257,0.28225786097386907,0.45872720408934037
TCGA-12-3652-01A,0.92,0.20872837415126202,0.5960431992367985,0.5013750489715749,0.21337264630033073,0.124829169966383,0.15203971047612425,0.16030455602223256,0.6580309456973128,2.9212602878630997e-20,0.34072087458711003,0.5824242621675495,0.5824242621675495,0.2617462427908079,0.24264468881465498
