	Tumor	Macrophage_Microglia	T_cell	NK_cell	B_cell	Endothelial	Oligodendrocyte	Astrocyte
ABITRAM	39.56785777132394	14.709753207128095	11.57282661497247	1.254664133922717	9.144500571122045	25.266246714640204	39.0246942264184	15.74763428668739
ABL1	15.843148198820373	15.25473188636797	6.804098973843838	4.974248620797568	3.670069705712409	22.788761454754415	33.99642589871256	19.16044767134317
ABL2	21.500622454184548	314.4299254174897	44.0599781190368	12.265455262371184	29.90750814599628	254.70354754006237	33.70290200306034	29.8481085365262
ABLIM1	80.0686681144528	26.18278197408425	74.51456050737474	19.64148346289085	23.304316837718844	1864.1703526603346	1.9031982680806134	688.1708961823015
ABLIM2	10.948331597121575	1.0963105573761032	31.960054842447697	64.36232251258502	10.472891252268674	1.1518131578252802	3.760924121639181	0.043895640604017135
ABLIM3	2.5688018635481424	11.1203204136723	0.24558689075652565	0.0	0.09432707128835456	23.46593559018487	6.946616483224555	0.09409528070573857
ABO	0.03969678200193825	0.07570379779854662	0.07035582231486999	0.0	3.675105535784731	4.179690332728351	0.0015431378011669275	0.0
ABR	42.89917740857657	99.59648402634856	26.14573094215393	15.487627256465448	2.777681358077627	43.2474301773577	1.5861939438729793	158.79045878902696
ABRA	1.9548514082992463	1.2710572242189664	9.64480985610143	0.0	1.0451964154838735	0.0	0.2191590238033001	0.0
ABRACL	40.218343900470146	43.71748063631271	96.11394418939706	15.066886772874376	26.827831017132418	95.08316435170485	7.813211047617114	0.4362289732426982
ABRAXAS1	10.960691255093876	10.356943724027287	0.4122342101200898	0.6894370462994074	9.111630870630623	2.0108521230592533	6.61264129549075	4.79605886876962
ABRAXAS2	31.244051885062245	20.032229015348417	181.00706178787954	19.344326787208168	6.7729439409901735	24.993861507780636	15.6541264591922	0.1664114283584872
ABT1	57.87851226409976	58.21783167368038	201.73158959422537	3.966842074948942	25.986151478582215	39.3629723622976	61.26434213710519	6.888401247845636
ABTB1	12.771300270765884	15.822944826356675	9.188718977762692	108.69493860243841	42.792434870397535	9.658315119236887	55.46531411861476	9.852664995777223
ABTB2	11.847648573019898	0.3628759321356994	4.059112351269148	0.3807158875111407	0.0	1.9742820237702352	72.41932162066531	5.532310068529836
ABTB3	1.335064069280914	0.533907383830645	28.570669234070387	0.08798542897276838	0.0	0.46061228625700135	0.020439005587975248	0.09715393308340727
ACAA1	127.66611040017541	142.59973894039908	100.5788397641403	451.92101447789025	25.710873331897474	20.303151931826463	215.24152829535262	83.06880571182174
ACAA2	41.11165150801678	45.809252176123024	56.04959054575969	10.836125395798424	28.669675361936218	37.05239353324386	22.952697392043078	49.02056253306023
ACACB	6.410787954522046	3.787475874703398	2.9178235445490834	0.9095733428688227	0.6641198953746218	35.853609317338794	5.235614219215189	40.45907418417925
ACAD10	22.765148446281962	7.938956533615818	11.03010501910085	0.0665393908695379	7.218096441707301	0.35969261564619487	10.231892438422438	2.9222232217383515
ACAD11	51.68044067349742	55.6331938367745	6.381030981050442	342.34470656197175	0.12378188213437552	21.988554684312554	77.5796039258607	0.13229755238965735
ACAD8	65.75762605187325	17.656375397395493	36.602062233310946	0.4810738572309287	7.735833722176301	10.291897428221116	45.55791602851705	31.23478708815381
ACAD9	31.066533873270505	26.35587024091939	10.335609108201925	7.649346662505854	0.7397836245437606	13.080977545189858	54.71820635537844	20.35117770419723
ACADL	2.029686097288626	1.4368842312182961	0.0	0.0	0.0	0.7815465049884307	0.6774491756933405	4.6654858640630765
ACADM	61.578141248986	32.22725241455946	34.57883211994289	7.001888042953352	27.867336792668297	41.67094841950253	34.38334493134796	80.7178010664821
ACADS	13.13824808563405	11.96844387093256	3.029528672280263	1.8022726764198194	0.8146171172133182	27.23576676601039	21.227569134615276	48.741070724512035
ACADSB	17.194520962292508	8.100642452895995	19.602935444732704	12.159474733954122	13.736570805027638	1.4346378311604235	28.151634990578028	83.90322089539255
ACADVL	128.60060469473953	96.85900803711837	87.5768833351301	59.183647852453085	46.505008235382896	131.2977343996603	115.29230221634862	430.38485017181415
ACAN	5.561777197214512	0.031464548117882074	13.733595167908001	0.21438011029932574	0.0	0.0	1.51165235282945	0.0
ACAP1	2.08433675529297	10.248062435070965	143.06623366584043	102.32155678296661	373.91227112770594	1.428204496677242	1.0427712600942043	0.4905696983247497
